player,team,touches,touch_map_saved,error
Felix Nmecha,Borussia Dortmund,1432,True,
Filippo Mane,Borussia Dortmund,126,True,
Fin Stevens,St. Pauli,19,True,
Finn Dahmen,Augsburg,1758,True,
Finn Jeltsch,Stuttgart,1256,True,
Fisnik Asllani,Hoffenheim,1051,True,
Florian Kainz,FC Koln,249,True,
Florian Neuhaus,Borussia M.Gladbach,640,True,
Franck Honorat,Borussia M.Gladbach,965,True,
Frank Feller,FC Heidenheim,154,True,
Frederik Rønnow,Union Berlin,1211,True,
Fynn Schenten,FC Koln,28,True,
Fábio Silva,Borussia Dortmund,423,True,
Fábio Vieira,Hamburg,1263,True,
Giorgi Gocholeishvili,Hamburg,566,True,
Giovanni Reyna,Borussia M.Gladbach,422,True,
Grant-Leon Ranos,Borussia M.Gladbach,79,True,
Gregor Kobel,Borussia Dortmund,1360,True,
Grischa Prömel,Hoffenheim,1263,True,
Guilherme Ramos,Hamburg,65,True,
Han-Noah Massengo,Augsburg,1513,True,
Haris Tabakovic,Borussia M.Gladbach,840,True,
Harry Kane,Bayern,1171,True,
Hauke Wahl,St. Pauli,1977,True,
Hennes Behrens,FC Heidenheim,931,True,
Hiroki Ito,Bayern,948,True,
Hugo Bolin,Borussia M.Gladbach,253,True,
Hugo Larsson,Eintracht Frankfurt,1228,True,
Ibrahim Maza,Leverkusen,1387,True,
Igor Matanovic,Freiburg,668,True,
Ihlas Bebou,Hoffenheim,95,True,
Ilyas Ansah,Union Berlin,796,True,
Immanuël Pherai,Hamburg,40,True,
Isaac Schmidt,Werder Bremen,541,True,
Ismaël Gharbi,Augsburg,81,True,
Jackson Irvine,St. Pauli,957,True,
Jahmai Simpson-Pusey,FC Koln,676,True,
Jakub Kaminski,FC Koln,1656,True,
Jamal Musiala,Bayern,497,True,
James Sands,St. Pauli,1185,True,
Jamie Leweling,Stuttgart,1356,True,
Jan Bürger,Wolfsburg,146,True,
Jan Schöppner,FC Heidenheim,1112,True,
Jan Thielmann,FC Koln,727,True,
Jan Urbich,Borussia M.Gladbach,19,True,
Janik Haberer,Union Berlin,1001,True,
Janis Blaswich,Leverkusen,360,True,
Jarell Quansah,Leverkusen,2017,True,
Jean-Luc Dompé,Hamburg,520,True,
Jean-Mattéo Bahoya,Eintracht Frankfurt,797,True,
Jeanuël Belocian,Leverkusen,248,True,
Jeanuël Belocian,Wolfsburg,782,True,
Jeff Chabot,Stuttgart,2161,True,
Jeffrey Gouweleeuw,Augsburg,534,True,
Jens Castrop,Borussia M.Gladbach,930,True,
Jens Stage,Werder Bremen,1476,True,
