player,team,touches,final_third_saved,avg_position_saved,error
Erling Haaland,Man City,782,True,True,
Estêvão,Chelsea,495,True,True,
Ethan Ampadu,Leeds,2372,True,True,
Ethan Nwaneri,Arsenal,121,True,True,
Ethan Pinnock,Brentford,196,True,True,
Evanilson,Bournemouth,850,True,True,
Evann Guessand,Aston Villa,234,True,True,
Evann Guessand,Crystal Palace,179,True,True,
Ezra Mayers,West Ham,101,True,True,
Ezri Konsa,Aston Villa,2442,True,True,
Fabian Schär,Newcastle,976,True,True,
Facundo Buonanotte,Chelsea,30,True,True,
Facundo Buonanotte,Leeds,27,True,True,
Federico Chiesa,Liverpool,226,True,True,
Fer López,Wolves,157,True,True,
Ferdi Kadioglu,Brighton,2068,True,True,
Filip Jörgensen,Chelsea,212,False,True,
Florentino,Burnley,1431,True,True,
Florian Wirtz,Liverpool,1880,True,True,
Frank Onyeka,Brentford,55,True,True,
Freddie Potts,West Ham,727,True,True,
Freddie Woodman,Liverpool,106,False,True,
Fábio Carvalho,Brentford,45,True,True,
Gabriel Gudmundsson,Leeds,1741,True,True,
Gabriel Jesus,Arsenal,217,True,True,
Gabriel Magalhães,Arsenal,2158,True,True,
Gabriel Martinelli,Arsenal,527,True,True,
George Hemmings,Aston Villa,20,True,True,
Georginio Rutter,Brighton,938,True,True,
Gianluigi Donnarumma,Man City,1160,True,True,
Giorgi Mamardashvili,Liverpool,397,False,True,
Granit Xhaka,Sunderland,2297,True,True,
Guglielmo Vicario,Tottenham,1365,False,True,
Guido Rodríguez,West Ham,100,True,True,
Habib Diarra,Sunderland,652,True,True,
Hannibal Mejbri,Burnley,822,True,True,
Harrison Armstrong,Everton,294,True,True,
Harrison Reed,Fulham,54,True,True,
Harry Howell,Brighton,56,True,True,
Harry Maguire,Man Utd,1068,True,True,
Harry Wilson,Fulham,1271,True,True,
Harvey Barnes,Newcastle,951,True,True,
Harvey Elliott,Aston Villa,96,True,True,
Hjalmar Ekdal,Burnley,926,True,True,
Hugo Bueno,Wolves,1701,True,True,
Hugo Ekitiké,Liverpool,749,True,True,
Hwang Hee-Chan,Wolves,612,True,True,
Hákon Valdimarsson,Brentford,48,False,True,
Ian Maatsen,Aston Villa,1274,True,True,
Ibrahim Sangaré,Nottingham Forest,1299,True,True,
Ibrahima Konaté,Liverpool,2640,True,True,
Idrissa Gueye,Everton,1367,True,True,
Igor Jesus,Nottingham Forest,887,True,True,
Igor Julio,West Ham,43,True,True,
Igor Thiago,Brentford,1216,True,True,
Ilia Gruev,Leeds,748,True,True,
Iliman Ndiaye,Everton,1587,True,True,
Ismaïla Sarr,Crystal Palace,876,True,True,
Issa Diop,Fulham,589,True,True,
Jack Fletcher,Man Utd,63,True,True,
Jack Grealish,Everton,959,True,True,
Jack Harrison,Leeds,184,True,True,
Jack Hinshelwood,Brighton,844,True,True,
Jackson Tchatchoua,Wolves,945,True,True,
Jacob Bruun Larsen,Burnley,505,True,True,
Jacob Murphy,Newcastle,910,True,True,
Jacob Ramsey,Newcastle,917,True,True,
Jadon Sancho,Aston Villa,528,True,True,
Jaidon Anthony,Burnley,1552,True,True,
Jair Cunha,Nottingham Forest,304,True,True,
Jaka Bijol,Leeds,1317,True,True,
Jake O'Brien,Everton,1815,True,True,
Jamaal Lascelles,Newcastle,14,True,True,
Jamaldeen Jimoh-Aloba,Aston Villa,11,True,True,
James Garner,Everton,2660,True,True,
James Hill,Bournemouth,1495,True,True,
James Justin,Leeds,1233,True,True,
James Maddison,Tottenham,54,True,True,
James McAtee,Nottingham Forest,193,True,True,
James Milner,Brighton,592,True,True,
James Tarkowski,Everton,2093,True,True,
James Trafford,Man City,158,False,True,
James Ward-Prowse,Burnley,579,True,True,
James Ward-Prowse,West Ham,252,True,True,
Jamie Gittens,Chelsea,257,True,True,
Jan Paul van Hecke,Brighton,3046,True,True,
Jarrad Branthwaite,Everton,464,True,True,
Jarrod Bowen,West Ham,1627,True,True,
Jaydee Canvot,Crystal Palace,1032,True,True,
Jayden Bogle,Leeds,1551,True,True,
Jean-Clair Todibo,West Ham,1032,True,True,
Jean-Philippe Mateta,Crystal Palace,684,True,True,
Jean-Ricner Bellegarde,Wolves,723,True,True,
Jefferson Lerma,Crystal Palace,1194,True,True,
Jenson Seelt,Sunderland,128,True,True,
Jeremie Frimpong,Liverpool,737,True,True,
Jesse Derry,Chelsea,25,True,True,
Jhon Arias,Wolves,670,True,True,
Joachim Andersen,Fulham,2749,True,True,
Jocelin Ta Bi,Sunderland,18,True,True,
Joe Gomez,Liverpool,482,True,True,
Joe Rodon,Leeds,1921,True,True,
Joe Willock,Newcastle,557,True,True,
Joe Worrall,Burnley,253,True,True,
Joelinton,Newcastle,1201,True,True,
John McGinn,Aston Villa,1184,True,True,
John Stones,Man City,351,True,True,
John Victor,Nottingham Forest,151,False,True,
Jonah Kusi-Asare,Fulham,25,True,True,
Jordan Henderson,Brentford,1382,True,True,
Jordan Pickford,Everton,1764,True,True,
Jorge Cuenca,Fulham,774,True,True,
Jorrel Hato,Chelsea,993,True,True,
Josh Acheampong,Chelsea,600,True,True,
Josh Cullen,Burnley,1086,True,True,
Josh King,Fulham,607,True,True,
Josh Laurent,Burnley,925,True,True,
Joshua Zirkzee,Man Utd,393,True,True,
Josko Gvardiol,Man City,1249,True,True,
José Sá,Wolves,957,False,True,
João Gomes,Wolves,2055,True,True,
João Palhinha,Tottenham,1525,True,True,
João Pedro,Chelsea,1257,True,True,
Joél Drakes-Thomas,Crystal Palace,13,True,True,
Joël Piroe,Leeds,146,True,True,
Joël Veltman,Brighton,756,True,True,
Julio Soler,Bournemouth,31,True,True,
Junior Kroupi,Bournemouth,745,True,True,
Jurriën Timber,Arsenal,1664,True,True,
Justin Devenny,Crystal Palace,455,True,True,
Justin Kluivert,Bournemouth,532,True,True,
Jérémy Doku,Man City,1339,True,True,
Jørgen Strand Larsen,Crystal Palace,385,True,True,
Jørgen Strand Larsen,Wolves,446,True,True,
Kai Havertz,Arsenal,272,True,True,
Kaoru Mitoma,Brighton,931,True,True,
Karl Darlow,Leeds,1071,False,True,
Keane Lewis-Potter,Brentford,996,True,True,
Kenny Tete,Fulham,1412,True,True,
Kepa Arrizabalaga,Arsenal,33,False,True,
Kevin,Fulham,676,True,True,
Kevin Danso,Tottenham,1305,True,True,
Kevin Schade,Brentford,1100,True,True,
Ki-Jana Hoever,Wolves,284,True,True,
Kieran Trippier,Newcastle,1483,True,True,
Kiernan Dewsbury-Hall,Everton,1582,True,True,
Kobbie Mainoo,Man Utd,1358,True,True,
Konstantinos Mavropanos,West Ham,1600,True,True,
Kristoffer Ajer,Brentford,1027,True,True,
Kyle Walker,Burnley,2233,True,True,
Kyle Walker-Peters,West Ham,974,True,True,
Ladislav Krejcí,Wolves,1670,True,True,
Lamare Bogarde,Aston Villa,674,True,True,
Leandro Trossard,Arsenal,1209,True,True,
Leny Yoro,Man Utd,1240,True,True,
Leon Bailey,Aston Villa,260,True,True,
Lesley Ugochukwu,Burnley,1160,True,True,
Levi Colwill,Chelsea,229,True,True,
Lewis Cook,Bournemouth,685,True,True,
Lewis Dunk,Brighton,2863,True,True,
