player,team,touches,touch_map_saved,error
Fábio Ronaldo,Estrela da Amadora,62,True,
Gabri Martínez,Braga,1025,True,
Gabri Veiga,Porto,1066,True,
Gabriel Batista,Santa Clara,1154,True,
Gabriel Moscardo,Braga,753,True,
Gabriel Silva,Santa Clara,970,True,
Gabriel Veron,Nacional,342,True,
Gaizka Larrazabal,Casa Pia AC,1548,True,
Gastão,Estrela da Amadora,78,True,
Geny Catamo,Sporting,1315,True,
Georgios Liavas,Rio Ave,525,True,
Georgios Vagiannidis,Sporting,996,True,
Geovany Quenda,Sporting,637,True,
Ghislain Konan,Gil Vicente,1965,True,
Gian Cabezas,Alverca,29,True,
Gianluca Prestianni,Benfica,1049,True,
Gil Dias,Famalicao,1421,True,
Gilberto Batista,Moreirense,1634,True,
Giorgi Kochorashvili,Sporting,619,True,
Gonzalo Pastor,Famalicao,22,True,
Gonçalo Costa,Estoril,412,True,
Gonçalo Esteves,Alverca,125,True,
Gonçalo Inácio,Sporting,2780,True,
Gonçalo Nogueira,Vitoria de Guimaraes,736,True,
Gonçalo Paciência,Santa Clara,211,True,
Guilherme Montóia,Estrela da Amadora,380,True,
Guilherme Neiva,AVS Futebol SAD,452,True,
Guilherme Romão,Santa Clara,625,True,
Guilherme Schettine,Moreirense,397,True,
Guillem Molina,AVS Futebol SAD,192,True,
Gustaf Lagerbielke,Braga,2389,True,
Gustavo Assunção,AVS Futebol SAD,417,True,
Gustavo Garcia,Famalicao,442,True,
Gustavo Klismahn,Santa Clara,545,True,
Gustavo Mancha,Rio Ave,974,True,
Gustavo Mendonça,AVS Futebol SAD,776,True,
Gustavo Silva,Vitoria de Guimaraes,625,True,
Gustavo Sá,Famalicao,1531,True,
Gustavo Varela,Gil Vicente,493,True,
Henrique Silva,Santa Clara,768,True,
Heorhiy Sudakov,Benfica,1036,True,
Hevertton Santos,Gil Vicente,574,True,
Hidemasa Morita,Sporting,1474,True,
Hugo Félix,Tondela,813,True,
Hugo Nunes,Vitoria de Guimaraes,10,True,
Héctor Hernández,Gil Vicente,125,True,
Hélder Tavares,Tondela,302,True,
Ianis Stoica,Estrela da Amadora,707,True,
Ibrahima Ba,Famalicao,1254,True,
Ignacio de Arruabarrena,Arouca,720,True,
Ikker Julian,Alverca,75,True,
Isaac,Santa Clara,29,True,
Isaac James,Alverca,824,True,
Ismaël Gharbi,Braga,47,True,
Ivan Cavaleiro,Tondela,414,True,
Iván Fresneda,Sporting,1254,True,
Iyad Mohamed,Casa Pia AC,532,True,
Jakub Brabec,Rio Ave,1466,True,
Jakub Kiwior,Porto,2263,True,
Jakub Vinarcík,Arouca,32,True,
Jalen Blesa,Rio Ave,462,True,
Jan Bednarek,Porto,2765,True,
Jandro Orellana,Estoril,903,True,
Jaume Grau,AVS Futebol SAD,644,True,
Javi Sánchez,Arouca,1064,True,
Jean-Baptiste Gorby,Braga,1513,True,
Jefferson Encada,Estrela da Amadora,997,True,
Jesús Ramírez,Nacional,1106,True,
Jimi Gower,Moreirense,106,True,
Joe Hodge,Tondela,822,True,
Joel Jorquera,Moreirense,25,True,
Joel Robles,Estoril,1023,True,
Joel Silva,Nacional,204,True,
Joelson Fernandes,Gil Vicente,473,True,
Jonathan Buatu,Gil Vicente,1781,True,
Jonathan Mutombo,Gil Vicente,68,True,
Jonathan Panzo,Rio Ave,829,True,
Jordan Holsgrove,Estoril,2881,True,
Jordan Siebatcheu,Tondela,376,True,
Jordi Escobar,AVS Futebol SAD,44,True,
Jorge Meireles,Estrela da Amadora,462,True,
José Fonte,Casa Pia AC,851,True,
José Fontán,Arouca,2286,True,
José Gomes,Nacional,1217,True,
José Neto,Benfica,88,True,
José Silva,Arouca,19,True,
Jovane Cabral,Estrela da Amadora,1071,True,
João Afonso,Santa Clara,73,True,
João Afonso,Tondela,375,True,
João Aurélio,Nacional,818,True,
João Carvalho,Estoril,1860,True,
João Costa,Porto,10,True,
João Costa,Santa Clara,32,True,
João Gonçalves,AVS Futebol SAD,227,True,
João Goulart,Casa Pia AC,917,True,
João Graça,Rio Ave,70,True,
João Marques,Casa Pia AC,301,True,
João Mendes,Vitoria de Guimaraes,1680,True,
João Moutinho,Braga,2445,True,
João Novais,Rio Ave,35,True,
João Rego,Benfica,45,True,
João Resende,Estrela da Amadora,10,True,
João Silva,Tondela,654,True,
João Simões,Sporting,533,True,
João Tomé,Rio Ave,506,True,
João Valido,Arouca,406,True,
João Vasconcelos,Braga,18,True,
João Virgínia,Sporting,64,True,
Juan Castillo,Vitoria de Guimaraes,477,True,
Juanse,Tondela,1048,True,
Julien Lomboto,Rio Ave,166,True,
Julián Martínez,Alverca,395,True,
Justin de Haas,Famalicao,2400,True,
Jérémy Livolant,Casa Pia AC,1434,True,
Kaiky Naves,Alverca,2160,True,
Kaique,Nacional,1229,True,
Kaique Rocha,Casa Pia AC,305,True,
Karem Zoabi,Rio Ave,33,True,
Kauan Gomes,Alverca,24,True,
Kelian Nsona,Casa Pia AC,203,True,
Kerem Aktürkoglu,Benfica,14,True,
Kevin Chamorro,Rio Ave,111,True,
Kevin Höög Jansson,Estrela da Amadora,472,True,
Kevin Prieto,Casa Pia AC,208,True,
Kevyn Monteiro,Moreirense,324,True,
Khaly,Casa Pia AC,377,True,
Kikas,Estrela da Amadora,276,True,
Kiki,AVS Futebol SAD,1050,True,
Kiki,Casa Pia AC,14,True,
Kiko,Moreirense,1376,True,
Kiko Bondoso,Moreirense,959,True,
Kobamelo Kodisang,AVS Futebol SAD,46,True,
Korede Osundina,Casa Pia AC,244,True,
Kévin Boma,Estoril,1120,True,
Landerson,Moreirense,666,True,
Lawrence Ofori,Casa Pia AC,292,True,
Lawrence Ofori,Moreirense,96,True,
Lazar Carevic,Famalicao,1421,True,
Leandro Antonetti,Estrela da Amadora,106,True,
Leandro Barreiro,Benfica,975,True,
Leandro Santos,Moreirense,217,True,
Lee Hyun-Ju,Arouca,988,True,
Lenny Vallier,Nacional,459,True,
Leonardo Buta,Rio Ave,16,True,
Leonardo Lelo,Braga,1590,True,
Lincoln,Alverca,1565,True,
Liziero,Nacional,1522,True,
Luan Patrick,Estrela da Amadora,1909,True,
Lucas França,Nacional,200,True,
Lucas João,Nacional,148,True,
Lucas Soares,Santa Clara,1373,True,
Lucão,Gil Vicente,283,True,
Luis Suárez,Sporting,1107,True,
Luisinho,Braga,176,True,
Lukás Hornícek,Braga,1410,True,
Luquinhas,Santa Clara,100,True,
Luuk de Jong,Porto,95,True,
Luís Esteves,Gil Vicente,2023,True,
Luís Guilherme,Sporting,423,True,
Luís Rocha,Santa Clara,844,True,
Luís Semedo,Moreirense,335,True,
Léo Realpe,Famalicao,1272,True,
Léo Santos,Nacional,1689,True,
MT,Santa Clara,610,True,
Makan Aiko,Tondela,525,True,
Manu Silva,Benfica,93,True,
Maracás,Moreirense,2076,True,
Maranhão,Moreirense,270,True,
Marc Gual,Rio Ave,90,True,
Marcelo,Moreirense,753,True,
Marcos Peña,Famalicao,248,True,
Marezi,Alverca,501,True,
Mario Dorgeles,Braga,855,True,
Marios Vrousai,Rio Ave,1969,True,
Martim Fernandes,Porto,770,True,
Martim Watts,Nacional,22,True,
Martin Turk,Estoril,93,True,
Martín Fernández,Gil Vicente,294,True,
Marvin Elimbi,Gil Vicente,1523,True,
Mateja Stjepanovic,Moreirense,1416,True,
Mateo Flores,Arouca,135,True,
Matheus Dias,Nacional,1442,True,
Matheus Mendes,Alverca,319,True,
Matheus Pereira,Santa Clara,448,True,
Matheus Pivô,AVS Futebol SAD,636,True,
Matheus Reis,Sporting,353,True,
Mathias de Amorim,Famalicao,1395,True,
Mathis Clairicia,Alverca,58,True,
Matija Mitrovic,Vitoria de Guimaraes,492,True,
Matías Rocha,Arouca,668,True,
Max Scholze,Estrela da Amadora,467,True,
Max Svensson,Casa Pia AC,82,True,
Maxi Araújo,Sporting,1637,True,
Michel,Moreirense,268,True,
Miguel Baeza,Nacional,313,True,
Miguel Maga,Vitoria de Guimaraes,960,True,
Miguel Nogueira,Vitoria de Guimaraes,355,True,
Miguel Nóbrega,Vitoria de Guimaraes,647,True,
Miguel Puche,Arouca,418,True,
Miguel Sousa,Casa Pia AC,195,True,
Mika,Moreirense,34,True,
Miro,Tondela,92,True,
Mohamed Bamba,Gil Vicente,48,True,
Mootaz Nourani,Nacional,72,True,
Morten Hjulmand,Sporting,1991,True,
Moudjatovic Ouattara,Tondela,271,True,
Murilo de Souza,Gil Vicente,1362,True,
Nabil Touaizi,Alverca,1823,True,
Naïs Djouahra,Arouca,1346,True,
Nehuén Pérez,Porto,370,True,
Nelson Abbey,Rio Ave,1413,True,
Nenê,AVS Futebol SAD,172,True,
Nico Mantl,Arouca,300,True,
Nicolás Otamendi,Benfica,2333,True,
Nikolaos Athanasiou,Rio Ave,828,True,
Nile John,Moreirense,307,True,
Nilton Varela,Estrela da Amadora,21,True,
Noah Saviolo,Vitoria de Guimaraes,890,True,
Nodar Lominadze,Estoril,416,True,
Nuno Santos,Sporting,47,True,
Nuno Santos,Vitoria de Guimaraes,114,True,
Nélson Oliveira,Vitoria de Guimaraes,450,True,
Ole Pohlmann,Rio Ave,813,True,
Omar Fayed,Arouca,458,True,
Omar Richards,Rio Ave,432,True,
Or Israelov,Estoril,12,True,
Orest Lebedenko,Vitoria de Guimaraes,299,True,
Oskar Pietuszewski,Porto,441,True,
Otar Mamageishvili,Famalicao,63,True,
Otávio,Estrela da Amadora,925,True,
Oumar Camara,Vitoria de Guimaraes,596,True,
Oumar Ngom,Estrela da Amadora,583,True,
Ousmane Diomande,Sporting,1203,True,
Pablo,Gil Vicente,339,True,
Pablo Gozálbez,Arouca,521,True,
Pablo Rosario,Porto,1057,True,
Pablo Ruan,Nacional,415,True,
Patrick Sequeira,Casa Pia AC,1047,True,
Patrick de Paula,Estoril,269,True,
Pau Víctor,Braga,1312,True,
Paulinho Bóia,Nacional,1325,True,
Paulo Moreira,Estrela da Amadora,1241,True,
Paulo Oliveira,Braga,762,True,
Paulo Victor,Santa Clara,983,True,
Paulo Vitor,AVS Futebol SAD,745,True,
Pedro Amaral,Estoril,1221,True,
Pedro Bondo,Famalicao,760,True,
Pedro Carvalho,Estoril,867,True,
Pedro Ferreira,Santa Clara,1080,True,
Pedro Lima,AVS Futebol SAD,898,True,
Pedro Maranhão,Tondela,1141,True,
Pedro Pacheco,Santa Clara,124,True,
Pedro Rosas,Casa Pia AC,311,True,
Pedro Santos,Arouca,694,True,
Pedro Santos,Famalicao,330,True,
Peixinho,Estoril,166,True,
Pepê,Porto,1259,True,
Pizzi,Estoril,523,True,
Pote,Sporting,1345,True,
Rafa,Benfica,458,True,
Rafa Obrador,Benfica,46,True,
Rafa Soares,Famalicao,1196,True,
Rafael Barbosa,AVS Futebol SAD,359,True,
Rafael Brito,Casa Pia AC,683,True,
Rafael Lobato,Rio Ave,13,True,
Rafael Nel,Sporting,60,True,
Rafik Guitane,Estoril,1275,True,
Renan Ribeiro,Estrela da Amadora,1210,True,
Renato Nhaga,Casa Pia AC,643,True,
Rhaldney,Alverca,552,True,
Rica Rocha,Vitoria de Guimaraes,61,True,
Ricard Sánchez,Estoril,1249,True,
Ricardo Batista,Casa Pia AC,152,True,
Ricardo Horta,Braga,1578,True,
Ricardo Mangas,Sporting,613,True,
Richard Ríos,Benfica,1616,True,
Robinho,Estrela da Amadora,607,True,
Rochinha,Famalicao,11,True,
Rodri Alonso,Moreirense,873,True,
Rodrigo Abascal,Vitoria de Guimaraes,1791,True,
Rodrigo Conceição,Tondela,906,True,
Rodrigo Mora,Porto,725,True,
Rodrigo Pinheiro,Famalicao,1723,True,
Rodrigo Pinho,Estrela da Amadora,347,True,
Rodrigo Rodrigues,Gil Vicente,29,True,
Rodrigo Rêgo,Benfica,84,True,
Rodrigo Zalazar,Braga,1574,True,
Roger Fernandes,Braga,228,True,
Romualdas Jansonas,Arouca,24,True,
Roméo Beney,Famalicao,161,True,
Roni,AVS Futebol SAD,655,True,
Rony Lopes,Tondela,540,True,
Rui Silva,Sporting,1025,True,
Ryan,Estrela da Amadora,105,True,
Ryan Guilherme,Rio Ave,306,True,
Rémy Vita,Tondela,149,True,
Rúben Semedo,AVS Futebol SAD,487,True,
Sabit Abdulai,Alverca,606,True,
Salvador Blopa,Sporting,56,True,
Samu,Vitoria de Guimaraes,1221,True,
Samu Aghehowa,Porto,510,True,
Samuel Dahl,Benfica,2304,True,
Samuel Soares,Benfica,61,True,
Sandro Lima,Alverca,523,True,
Sandro Vidigal,Braga,38,True,
Santi García,Gil Vicente,1567,True,
Seba Pérez,Casa Pia AC,863,True,
Seko Fofana,Porto,190,True,
Sergi Gómez,Alverca,1260,True,
Serginho,Santa Clara,1591,True,
