player,team,touches,touch_map_saved,error
Fer López,Wolves,157,True,
Ferdi Kadioglu,Brighton,2068,True,
Filip Jörgensen,Chelsea,212,True,
Florentino,Burnley,1431,True,
Florian Wirtz,Liverpool,1880,True,
Frank Onyeka,Brentford,55,True,
Freddie Potts,West Ham,727,True,
Freddie Woodman,Liverpool,106,True,
Fábio Carvalho,Brentford,45,True,
Gabriel Gudmundsson,Leeds,1741,True,
Gabriel Jesus,Arsenal,217,True,
Gabriel Magalhães,Arsenal,2158,True,
Gabriel Martinelli,Arsenal,527,True,
George Hemmings,Aston Villa,20,True,
Georginio Rutter,Brighton,938,True,
Gianluigi Donnarumma,Man City,1160,True,
Giorgi Mamardashvili,Liverpool,397,True,
Granit Xhaka,Sunderland,2297,True,
Guglielmo Vicario,Tottenham,1365,True,
Guido Rodríguez,West Ham,100,True,
Habib Diarra,Sunderland,652,True,
Hannibal Mejbri,Burnley,822,True,
Harrison Armstrong,Everton,294,True,
Harrison Reed,Fulham,54,True,
Harry Howell,Brighton,56,True,
Harry Maguire,Man Utd,1068,True,
Harry Wilson,Fulham,1271,True,
Harvey Barnes,Newcastle,951,True,
Harvey Elliott,Aston Villa,96,True,
Hjalmar Ekdal,Burnley,926,True,
Hugo Bueno,Wolves,1701,True,
Hugo Ekitiké,Liverpool,749,True,
Hwang Hee-Chan,Wolves,612,True,
Hákon Valdimarsson,Brentford,48,True,
Ian Maatsen,Aston Villa,1274,True,
Ibrahim Sangaré,Nottingham Forest,1299,True,
Ibrahima Konaté,Liverpool,2640,True,
Idrissa Gueye,Everton,1367,True,
Igor Jesus,Nottingham Forest,887,True,
Igor Julio,West Ham,43,True,
Igor Thiago,Brentford,1216,True,
Ilia Gruev,Leeds,748,True,
Iliman Ndiaye,Everton,1587,True,
Ismaïla Sarr,Crystal Palace,876,True,
Issa Diop,Fulham,589,True,
Jack Fletcher,Man Utd,63,True,
Jack Grealish,Everton,959,True,
Jack Harrison,Leeds,184,True,
Jack Hinshelwood,Brighton,844,True,
Jackson Tchatchoua,Wolves,945,True,
Jacob Bruun Larsen,Burnley,505,True,
Jacob Murphy,Newcastle,910,True,
Jacob Ramsey,Newcastle,917,True,
Jadon Sancho,Aston Villa,528,True,
Jaidon Anthony,Burnley,1552,True,
Jair Cunha,Nottingham Forest,304,True,
Jaka Bijol,Leeds,1317,True,
Jake O'Brien,Everton,1815,True,
Jamaal Lascelles,Newcastle,14,True,
Jamaldeen Jimoh-Aloba,Aston Villa,11,True,
James Garner,Everton,2660,True,
James Hill,Bournemouth,1495,True,
James Justin,Leeds,1233,True,
James Maddison,Tottenham,54,True,
James McAtee,Nottingham Forest,193,True,
James Milner,Brighton,592,True,
James Tarkowski,Everton,2093,True,
James Trafford,Man City,158,True,
James Ward-Prowse,Burnley,579,True,
James Ward-Prowse,West Ham,252,True,
Jamie Gittens,Chelsea,257,True,
Jan Paul van Hecke,Brighton,3046,True,
Jarrad Branthwaite,Everton,464,True,
Jarrod Bowen,West Ham,1627,True,
Jaydee Canvot,Crystal Palace,1032,True,
Jayden Bogle,Leeds,1551,True,
Jean-Clair Todibo,West Ham,1032,True,
Jean-Philippe Mateta,Crystal Palace,684,True,
Jean-Ricner Bellegarde,Wolves,723,True,
Jefferson Lerma,Crystal Palace,1194,True,
Jenson Seelt,Sunderland,128,True,
Jeremie Frimpong,Liverpool,737,True,
Jesse Derry,Chelsea,25,True,
Jhon Arias,Wolves,670,True,
Joachim Andersen,Fulham,2749,True,
Jocelin Ta Bi,Sunderland,18,True,
Joe Gomez,Liverpool,482,True,
Joe Rodon,Leeds,1921,True,
Joe Willock,Newcastle,557,True,
Joe Worrall,Burnley,253,True,
Joelinton,Newcastle,1201,True,
John McGinn,Aston Villa,1184,True,
John Stones,Man City,351,True,
John Victor,Nottingham Forest,151,True,
Jonah Kusi-Asare,Fulham,25,True,
Jordan Henderson,Brentford,1382,True,
Jordan Pickford,Everton,1764,True,
Jorge Cuenca,Fulham,774,True,
Jorrel Hato,Chelsea,993,True,
Josh Acheampong,Chelsea,600,True,
Josh Cullen,Burnley,1086,True,
Josh King,Fulham,607,True,
Josh Laurent,Burnley,925,True,
Joshua Zirkzee,Man Utd,393,True,
Josko Gvardiol,Man City,1249,True,
José Sá,Wolves,957,True,
João Gomes,Wolves,2055,True,
João Palhinha,Tottenham,1525,True,
João Pedro,Chelsea,1257,True,
Joél Drakes-Thomas,Crystal Palace,13,True,
Joël Piroe,Leeds,146,True,
Joël Veltman,Brighton,756,True,
Julio Soler,Bournemouth,31,True,
Junior Kroupi,Bournemouth,745,True,
Jurriën Timber,Arsenal,1664,True,
Justin Devenny,Crystal Palace,455,True,
Justin Kluivert,Bournemouth,532,True,
Jérémy Doku,Man City,1339,True,
Jørgen Strand Larsen,Crystal Palace,385,True,
Jørgen Strand Larsen,Wolves,446,True,
Kai Havertz,Arsenal,272,True,
Kaoru Mitoma,Brighton,931,True,
Karl Darlow,Leeds,1071,True,
Keane Lewis-Potter,Brentford,996,True,
Kenny Tete,Fulham,1412,True,
Kepa Arrizabalaga,Arsenal,33,True,
Kevin,Fulham,676,True,
Kevin Danso,Tottenham,1305,True,
Kevin Schade,Brentford,1100,True,
Ki-Jana Hoever,Wolves,284,True,
Kieran Trippier,Newcastle,1483,True,
Kiernan Dewsbury-Hall,Everton,1582,True,
Kobbie Mainoo,Man Utd,1358,True,
Konstantinos Mavropanos,West Ham,1600,True,
Kristoffer Ajer,Brentford,1027,True,
Kyle Walker,Burnley,2233,True,
Kyle Walker-Peters,West Ham,974,True,
Ladislav Krejcí,Wolves,1670,True,
Lamare Bogarde,Aston Villa,674,True,
Leandro Trossard,Arsenal,1209,True,
Leny Yoro,Man Utd,1240,True,
Leon Bailey,Aston Villa,260,True,
Lesley Ugochukwu,Burnley,1160,True,
Levi Colwill,Chelsea,229,True,
Lewis Cook,Bournemouth,685,True,
Lewis Dunk,Brighton,2863,True,
Lewis Hall,Newcastle,2036,True,
Lewis Miley,Newcastle,1122,True,
Liam Delap,Chelsea,378,True,
Lisandro Martínez,Man Utd,1109,True,
Lorenzo Lucca,Nottingham Forest,38,True,
Loum Tchaouna,Burnley,582,True,
Luca Netz,Nottingham Forest,163,True,
Lucas Bergvall,Tottenham,495,True,
Lucas Digne,Aston Villa,1228,True,
Lucas Paquetá,West Ham,1145,True,
Lucas Perri,Leeds,699,True,
Lucas Pires,Burnley,960,True,
Lukas Nmecha,Leeds,415,True,
Luke O'Nien,Sunderland,363,True,
Luke Shaw,Man Utd,2329,True,
Lutsharel Geertruida,Sunderland,1008,True,
Luís Guilherme,West Ham,50,True,
Lyle Foster,Burnley,524,True,
Mads Hermansen,West Ham,804,True,
Malick Thiaw,Newcastle,2115,True,
Malo Gusto,Chelsea,1809,True,
Mamadou Sarr,Chelsea,63,True,
Manuel Ugarte,Man Utd,700,True,
Marc Cucurella,Chelsea,2032,True,
Marc Guiu,Chelsea,64,True,
Marc Guéhi,Crystal Palace,1339,True,
Marc Guéhi,Man City,1471,True,
Marco Bizot,Aston Villa,312,True,
Marcos Senesi,Bournemouth,2992,True,
Marcus Edwards,Burnley,554,True,
Marcus Tavernier,Bournemouth,1796,True,
Marshall Munetsi,Wolves,343,True,
Martin Dúbravka,Burnley,1584,True,
Martin Ødegaard,Arsenal,1000,True,
Martín Zubimendi,Arsenal,2332,True,
Mason Mount,Man Utd,610,True,
Mateo Kovacic,Man City,179,True,
Mateus Fernandes,West Ham,2124,True,
Mateus Mané,Wolves,908,True,
Matheus Cunha,Man Utd,1521,True,
Matheus Nunes,Man City,2895,True,
Mathias Jensen,Brentford,1604,True,
Mathys Tel,Tottenham,798,True,
Mats Wieffer,Brighton,1436,True,
Matt Doherty,Wolves,428,True,
Matt O'Riley,Brighton,108,True,
Matthijs de Ligt,Man Utd,791,True,
Matty Cash,Aston Villa,2173,True,
Matz Sels,Nottingham Forest,1038,True,
Max Alleyne,Man City,148,True,
Max Dowman,Arsenal,116,True,
Max Weiss,Burnley,146,True,
Maxence Lacroix,Crystal Palace,2224,True,
Maxim De Cuyper,Brighton,1022,True,
Maxime Estève,Burnley,1786,True,
Maximilian Kilman,West Ham,916,True,
Melker Ellborg,Sunderland,131,True,
Merlin Röhl,Everton,315,True,
Michael Kayode,Brentford,2195,True,
Michael Keane,Everton,1537,True,
Micky van de Ven,Tottenham,2150,True,
Mike Trésor,Burnley,42,True,
Mikel Merino,Arsenal,557,True,
Mikkel Damsgaard,Brentford,1424,True,
Milos Kerkez,Liverpool,1618,True,
Mohamadou Kanté,West Ham,57,True,
Mohamed Salah,Liverpool,1324,True,
Mohammed Kudus,Tottenham,937,True,
Moisés Caicedo,Chelsea,2508,True,
Morato,Nottingham Forest,977,True,
Morgan Gibbs-White,Nottingham Forest,1750,True,
Morgan Rogers,Aston Villa,1816,True,
Murillo,Nottingham Forest,1483,True,
Myles Lewis-Skelly,Arsenal,507,True,
Nathan Aké,Man City,608,True,
Nathan Collins,Brentford,2247,True,
Nathan Patterson,Everton,148,True,
Nathaniel Clyne,Crystal Palace,302,True,
Nayef Aguerd,West Ham,145,True,
Neco Williams,Nottingham Forest,2400,True,
Nick Pope,Newcastle,989,True,
Nick Woltemade,Newcastle,681,True,
Niclas Füllkrug,West Ham,144,True,
Nico González,Man City,1576,True,
Nico O'Reilly,Man City,2072,True,
Nicolás Domínguez,Nottingham Forest,735,True,
Nicolò Savona,Nottingham Forest,638,True,
Nikola Milenkovic,Nottingham Forest,1979,True,
Nilson Angulo,Sunderland,179,True,
Noah Okafor,Leeds,713,True,
Noah Sadiki,Sunderland,1553,True,
Noni Madueke,Arsenal,750,True,
Nordi Mukiele,Sunderland,2024,True,
Noussair Mazraoui,Man Utd,801,True,
Ola Aina,Nottingham Forest,1097,True,
Oleksandr Zinchenko,Nottingham Forest,360,True,
Oliver Sonne,Burnley,98,True,
Olivier Boscagli,Brighton,904,True,
Ollie Scarles,West Ham,501,True,
Ollie Watkins,Aston Villa,890,True,
Omar Alderete,Sunderland,1783,True,
Omar Marmoush,Man City,329,True,
Omari Hutchinson,Nottingham Forest,1020,True,
Oscar Bobb,Fulham,320,True,
Oscar Bobb,Man City,313,True,
Pablo,West Ham,366,True,
Pape Matar Sarr,Tottenham,909,True,
Pascal Groß,Brighton,1396,True,
Pascal Struijk,Leeds,2296,True,
Patrick Dorgu,Man Utd,988,True,
Patrick Roberts,Sunderland,23,True,
Pau Torres,Aston Villa,1351,True,
Pedro Lima,Wolves,136,True,
Pedro Neto,Chelsea,1521,True,
Pedro Porro,Tottenham,2434,True,
Phil Foden,Man City,1667,True,
Piero Hincapié,Arsenal,1255,True,
Quilindschy Hartman,Burnley,1199,True,
Radu Dragusin,Tottenham,347,True,
Randal Kolo Muani,Tottenham,680,True,
Rayan,Bournemouth,540,True,
Rayan Aït-Nouri,Man City,878,True,
Rayan Cherki,Man City,1766,True,
Raúl Jiménez,Fulham,929,True,
Reece James,Chelsea,1851,True,
Reinildo Mandava,Sunderland,1269,True,
Reiss Nelson,Brentford,115,True,
Riccardo Calafiori,Arsenal,1164,True,
Richarlison,Tottenham,728,True,
Rico Henry,Brentford,818,True,
Rico Lewis,Man City,388,True,
Rio Cardines,Crystal Palace,58,True,
Rio Ngumoha,Liverpool,360,True,
Robert Sánchez,Chelsea,1677,True,
Robin Roefs,Sunderland,1690,True,
Rodri,Man City,1873,True,
Rodrigo Bentancur,Tottenham,1339,True,
Rodrigo Gomes,Wolves,485,True,
Rodrigo Muniz,Fulham,332,True,
Romain Esse,Crystal Palace,38,True,
Romaine Mundle,Sunderland,208,True,
Romelle Donovan,Brentford,34,True,
Roméo Lavia,Chelsea,349,True,
Ross Barkley,Aston Villa,543,True,
Ryan Christie,Bournemouth,786,True,
Ryan Gravenberch,Liverpool,2379,True,
Ryan Sessegnon,Fulham,1247,True,
Ryan Yates,Nottingham Forest,377,True,
Rúben Dias,Man City,2014,True,
Sam Byram,Leeds,10,True,
Sam Johnstone,Wolves,576,True,
Samuel Chukwueze,Fulham,638,True,
Sander Berge,Fulham,2076,True,
Sandro Tonali,Newcastle,2037,True,
Santiago Bueno,Wolves,1435,True,
Sasa Kalajdzic,Wolves,11,True,
Sasa Lukic,Fulham,1059,True,
Savinho,Man City,609,True,
Sean Longstaff,Leeds,667,True,
Sebastiaan Bornauw,Leeds,224,True,
Senne Lammens,Man Utd,1180,True,
Sepp van den Berg,Brentford,1815,True,
Shea Lacey,Man Utd,27,True,
Simon Adingra,Sunderland,310,True,
Solly March,Brighton,27,True,
Soungoutou Magassa,West Ham,594,True,
Souza,Tottenham,49,True,
Stefan Ortega,Nottingham Forest,81,True,
Stefanos Tzimas,Brighton,58,True,
Sven Botman,Newcastle,1521,True,
Séamus Coleman,Everton,26,True,
Taiwo Awoniyi,Nottingham Forest,161,True,
Tammy Abraham,Aston Villa,75,True,
Tawanda Chirewa,Wolves,10,True,
Thierno Barry,Everton,678,True,
Tijjani Reijnders,Man City,1103,True,
Tim Iroegbunam,Everton,796,True,
Timothy Castagne,Fulham,1218,True,
Tino Livramento,Newcastle,1010,True,
Tolu Arokodare,Wolves,601,True,
Tom Cairney,Fulham,787,True,
Tom Edozie,Wolves,16,True,
Tom Watson,Brighton,31,True,
Tomás Soucek,West Ham,1231,True,
Tosin Adarabioyo,Chelsea,874,True,
Toti Gomes,Wolves,1058,True,
Trai Hume,Sunderland,1725,True,
Trevoh Chalobah,Chelsea,2689,True,
Trey Nyoni,Liverpool,30,True,
Tyler Adams,Bournemouth,1312,True,
Tyler Dibling,Everton,211,True,
Tyler Fletcher,Man Utd,20,True,
Tyrell Malacia,Man Utd,23,True,
Tyrick Mitchell,Crystal Palace,2035,True,
Tyrique George,Chelsea,46,True,
Tyrique George,Everton,147,True,
Tyrone Mings,Aston Villa,1109,True,
Valentín Castellanos,West Ham,454,True,
Veljko Milosavljevic,Bournemouth,248,True,
Victor Lindelöf,Aston Villa,717,True,
Viktor Gyökeres,Arsenal,655,True,
Virgil van Dijk,Liverpool,3261,True,
Vitalii Mykolenko,Everton,2018,True,
Vitaly Janelt,Brentford,1081,True,
Walter Benítez,Crystal Palace,36,True,
Wataru Endo,Liverpool,140,True,
Wesley Fofana,Chelsea,1572,True,
Wilfried Gnonto,Leeds,368,True,
Will Hughes,Crystal Palace,949,True,
William Osula,Newcastle,228,True,
William Saliba,Arsenal,2414,True,
Wilson Isidor,Sunderland,303,True,
