,game_id,team_id,player_id,player_name,is_starter,minutes_played,jersey_number,starting_position
0,1983548,214,397331,Konstantinos Tzolakis,True,99,19,GK
1,1983548,214,301415,Lewie Coyle,True,72,2,DR
2,1983548,214,108632,John Egan,True,99,15,DC
3,1983548,214,247815,Semi Ajayi,True,66,6,DC
4,1983548,214,469508,Nobel Mendy,True,66,32,DC
5,1983548,214,362831,Ryan Giles,True,87,3,DL
6,1983548,214,457802,Mohamed Belloumi,True,99,10,MR
7,1983548,214,105742,Matt Crooks,True,99,25,MC
8,1983548,214,349981,Regan Slater,True,99,27,MC
9,1983548,214,614510,Elliot Stroud,True,73,21,ML
10,1983548,214,138695,Oliver McBurnie,True,99,9,FW
11,1983548,214,391821,Liam Millar,False,26,7,Sub
12,1983548,214,136776,Matt Targett,False,12,23,Sub
13,1983548,214,414473,Cody Drameh,False,27,18,Sub
14,1983548,214,244565,Paddy McNair,False,33,17,Sub
15,1983548,214,606532,Lucas Herrington,False,33,22,Sub
16,1983548,214,393137,Lucas Gourna-Douath,False,0,29,Sub
17,1983548,214,136458,Kieran Dowell,False,0,26,Sub
18,1983548,214,141738,Dillon Phillips,False,0,12,Sub
19,1983548,214,462243,Jens Hjertø-Dahl,False,0,14,Sub
20,1983548,32,402184,Senne Lammens,True,99,1,GK
21,1983548,32,349932,Noussair Mazraoui,True,82,3,DR
22,1983548,32,99487,Harry Maguire,True,99,5,DC
23,1983548,32,517341,Ayden Heaven,True,99,26,DC
24,1983548,32,118244,Luke Shaw,True,99,23,DL
25,1983548,32,136345,Youri Tielemans,True,69,18,DMC
26,1983548,32,451236,Andrey Santos,True,69,17,DMC
27,1983548,32,353377,Bryan Mbeumo,True,99,19,AMR
28,1983548,32,123761,Bruno Fernandes,True,99,8,AMC
29,1983548,32,495260,Patrick Dorgu,True,48,13,AML
30,1983548,32,362758,Matheus Cunha,True,82,10,FW
31,1983548,32,353418,Diogo Dalot,False,17,2,Sub
32,1983548,32,424191,Benjamin Sesko,False,30,30,Sub
33,1983548,32,460260,Kobbie Mainoo,False,30,37,Sub
34,1983548,32,300299,Marcus Rashford,False,51,9,Sub
35,1983548,32,563779,Shea Lacey,False,17,31,Sub
36,1983548,32,340105,Lisandro Martínez,False,0,6,Sub
37,1983548,32,437299,Leny Yoro,False,0,15,Sub
38,1983548,32,383956,Joshua Zirkzee,False,0,11,Sub
39,1983548,32,70483,Karl Darlow,False,0,12,Sub
